code_qua,nom,NOM_CO,area_sq_km,lidar_point_count,points_per_sq_km,mean_height_m,median_height_m,p10_height_m,p90_height_m,min_height_m,max_height_m,std_height_m
1320810,Vieille Chapelle,Marseille 8e Arrondissement,1.1561108830508688,3737,3232.388912505006,6.475889751137276,5.71,2.81,11.03,1.51,44.11,3.5041017822654337
1320201,Arenc,Marseille 2e Arrondissement,2.192211614021219,892,406.8950252315222,6.53237668161435,5.635,2.371,11.817,1.5,56.34,4.229327827641693
1321306,Les Olives,Marseille 13e Arrondissement,3.0750138904913964,12398,4031.8517058857133,7.027150346830134,5.61,2.67,13.92,1.5,29.81,4.541752171475894
1321102,La Barasse,Marseille 11e Arrondissement,6.136774051590288,12401,2020.7685496888053,6.9543843238448515,5.54,1.94,14.17,1.5,57.37,4.81194341669862
1321511,La Viste,Marseille 15e Arrondissement,1.6024851506067699,4472,2790.6654849854353,6.436929785330948,5.53,2.31,11.63,1.5,29.74,3.9102838321460567
1321510,Verduron,Marseille 15e Arrondissement,1.4083593775223302,4753,3374.8488318100744,6.395074689669682,5.43,2.5020000000000002,11.72,1.5,20.3,3.6462917546854734
1320702,Endoume,Marseille 7e Arrondissement,0.6259234416598939,1839,2938.058998274827,6.161615008156606,5.39,3.028,10.416000000000002,1.5,25.13,3.0005161419820365
1321603,Saint-André,Marseille 16e Arrondissement,2.7087045333243394,4860,1794.2156260341242,5.7239032921810695,5.19,2.27,9.891000000000004,1.5,24.0,3.0669897468251377
1321301,Château Gombert,Marseille 13e Arrondissement,2.8165486160551483,10492,3725.126539692069,6.154556805184903,5.13,2.54,11.43,1.5,32.9,3.7078069648672933
1321311,Saint-Mitre,Marseille 13e Arrondissement,2.8337353433876027,11054,3900.858287911052,6.1460620589831745,5.1,2.53,11.307000000000007,1.5,33.28,3.6979096268785714
1321604,Saint-Henri,Marseille 16e Arrondissement,1.953595119440875,4848,2481.578681148381,6.0567264851485145,5.01,2.3,11.59,1.5,22.33,3.7533603388375165
1321407,Sainte-Marthe,Marseille 14e Arrondissement,2.84453871708101,8509,2991.346171140082,6.168244212010812,4.96,2.32,11.632,1.5,38.55,4.295596152533062
1321601,L'Estaque,Marseille 16e Arrondissement,3.486151541448699,7619,2185.5045339864546,6.082488515553223,4.95,2.17,11.96,1.5,23.69,3.8249928165893947
1321501,Les Aygalades,Marseille 15e Arrondissement,3.0205699672966606,11159,3694.3358772738657,5.808515099919347,4.79,2.27,10.94,1.5,29.27,3.6718020191294234
1321110,La Valbarelle,Marseille 11e Arrondissement,1.6478830216035276,5575,3383.1284908652437,6.1346959641255605,4.74,1.86,12.556000000000004,1.5,25.25,4.365658245439924
1321406,Saint-Joseph,Marseille 14e Arrondissement,2.9875281589403238,8102,2711.9409655619042,5.86676993334979,4.7,2.24,11.679000000000006,1.5,25.39,3.869938866750427
1320802,Les Goudes,Marseille 8e Arrondissement,6.746311471383082,15908,2358.029282739098,5.500163439778728,4.59,1.99,10.16,1.5,55.66,3.637023172941225
1321404,Le Merlan,Marseille 14e Arrondissement,5.211703099907988,14136,2712.357118011878,5.372135681946802,4.3,2.05,10.09,1.5,33.75,3.6399860550054344
1320909,Vaufrèges,Marseille 9e Arrondissement,19.836886688826613,87455,4408.705931120742,4.894934652106798,4.19,2.0,8.07,1.5,101.94,3.7522856915377782
1321304,Les Médecins,Marseille 13e Arrondissement,3.0133248511550614,12788,4243.817255580038,5.393532217704098,4.04,2.07,11.14,1.5,23.45,3.789415299944745
1321305,Les Mourets,Marseille 13e Arrondissement,4.282702929374386,10059,2348.7503489926657,4.947557411273487,3.51,1.83,10.862000000000007,1.5,29.54,3.6078021671085225
1321307,Palama,Marseille 13e Arrondissement,4.973074537063495,19498,3920.7134046925416,4.908473176736075,3.47,1.89,10.66,1.5,24.28,3.619078355766109
1321602,Les Riaux,Marseille 16e Arrondissement,6.036633215940918,9650,1598.573187205954,4.637121243523316,3.29,1.79,9.84,1.5,29.96,3.455813104719686
1320703,Les Îles,Marseille 7e Arrondissement,1.8947773469146876,0,0.0,,,,,,,
